# Superpotential Type
Custom
# Physical Box Size, Power, Coupling
10, 3,  0.3  0.3  0.3 0.03
# Nicolai Configuration Number
0
# Solution Configuration Number
5 / 8
# Sign of Determinant
1
# Norm of residue
6.84937e-16
# Configuration of a scalar field solution
    (-2.6456132471908109238,4.1849866976679912511)   (-2.3569820516726944781,-0.17656171304378404097)    (0.45662999626949329901,-1.2832305012133460309)
     (2.2070581311186852069,1.9324566430655967242)     (1.1196006214838747361,0.16865214805309905466)    (-0.82232377965010305942,2.8998128827449627387)
     (1.6284947295359919472,-5.365099883304777606)   (-0.075402717920584644284,0.1306789359696136632)       (1.3393736664803375103,1.226065958656493482)
   (-2.2330305036651454387,0.50320527744076148924)      (1.8654006670325589123,1.3895478218536008175)    (2.4510282124405589066,-0.86176774720208459968)
   (0.40797022550509071115,-2.7547611897531636416)     (4.2783849586643336593,0.90256893744247845834)     (-2.0966971664307458845,2.2161342209870000808)
 (-0.0039797204984793064023,2.4614376852433998977)    (0.85353472056501400456,-0.9245642875069058908)     (0.34573675078771454183,0.9907600400434801724)
   (-2.4837586768941477544,-2.2720953386331914636)  (-0.18084643601331237828,-0.54558587056723151232)   (-0.12366205976573114989,0.43022271842834625133)
   (-1.2497678989584071196,0.73700205850796651763)     (4.1449203401675305258,0.90909225097493984169)    (-3.7450601690106295472,-0.7393092260883031841)
   (0.73017991683876126707,0.53134179486019772476)     (-1.6951442578718178833,1.8950392563668501111)   (-0.74346396702921013766,-3.9664295293075118032)
    (-2.951779574331142797,-2.0705484396698858873)     (-2.7977697474508280706,2.3937031331362210729)     (-3.2898865502427154794,2.0084853297585332221)
   (0.49829269969001449558,0.74059256940865891838)      (3.5729023816248290935,1.0240308017402721674)      (1.226700196226294004,0.94711991612396251305)
     (-0.124742985761548561,3.2651604369044648912)     (-1.4037513479645964409,2.4058694601919357048)     (0.8823005767722059689,0.61397405616904021652)
    (-1.2187463156565252476,0.8969486689914665245)   (0.13013463219208490362,-0.54263480984711076616)     (-1.759874812016227974,-2.4756707150635399728)
    (2.8491166551900453108,0.81692202934534452474)    (-0.16119008989842739665,1.9932815040073978974)    (0.73301935371134807617,-1.5079630955661134095)
    (3.8174414199082096211,-2.2937959162030141513)     (3.3287582094965713075,-3.6667070009814310971)     (2.3822167193164411891,-2.3491265267339178635)
    (-1.720359706531949584,0.45640505683168386408)    (-5.0376612144472572297,-2.0637877861877349517)       (2.427233287712432297,2.1503484426802619289)
     (3.1232319447842207261,1.7750122300865105451)   (-3.0662719983382422662,-0.95500072818290293597)    (-1.9329569462210800523,-1.8950811443805009038)
     (2.2365098292302363348,1.4951397957221508328)    (-0.67980074805535828375,4.6224561095608036609)     (0.15515043115440213528,1.2102232239205006348)
   (-3.3273327179462883763,0.41416312545018729718)     (1.9688857223779163697,-2.2979619155554322774)   (-0.39247409717428172193,-6.1169728587947460596)
   (-2.4190225783365320034,-4.1455566050701238012)     (5.2707418631643525586,0.76087621804954319593)   (0.64351049884513389365,0.098793666045343245252)
  (-2.3440790192009841597,-0.81484457634534535053)     (3.2289909461679284775,-1.1832884060791108993)    (0.30372620963400787097,-1.1476616394994270109)
    (1.3647817167174809416,0.43099171429056343241)  (-0.68793529011741205714,-0.91295921358881337859)  (-0.84594138667098850437,0.090598667241081731749)
    (-1.7023620481388097581,1.1064349463409355323)     (-1.9501964707894188233,0.9802686954133674746)    (0.61353041712491518389,-1.0486348471240911628)
  (-1.617140918567130381,-0.046989323647930361649)     (1.8649483707030940494,-2.4038956776967186357)  (-1.7329372505347344635,-0.072103634738649752256)
   (-3.7811994229772327714,-2.4030471041632179841)     (4.1612471831087729512,0.71622151587877636025)     (2.5109871530106300241,-0.3765425590962840352)
     (4.2296921624822578778,3.6348443956370806163)     (3.5208257970738054965,-6.4488858705940259597)     (-1.3690015656899514607,4.1787020735999247378)
   (0.53793648578752761846,-2.7251533973592891869)   (-0.83436951939959380642,0.69273746298305438618)     (-1.7974481907704480399,5.5466597383867712878)
       (-4.00837639269613355,2.023293992538009789)  (-0.077688258303567597762,-3.5370975406654348028)    (-1.2813233805253170239,0.75775424527636003891)
   (-9.2595733030416873532,0.12592963646702937108)    (-7.8214505306929167361,-1.2296163783878450992)    (-1.9217064606288671857,-7.3371364958787337329)
     (1.1751957839955116114,-6.759728026719719729)   (-2.0503534958013864831,0.047449038029860848842)     (1.6327717443306035694,-1.1797089553341142398)
     (0.59450780307270423286,2.510447801244138688)    (0.78230277997382502431,-1.5136671757734712074)    (-3.9581322532030531747,-1.9310094892650599974)
    (-2.402815143317052371,-2.5267478106278304928)     (-0.36667231196915139879,-5.86408606868097948)  (-0.34717918128664898569,-0.22321036129458085573)
    (-2.5338911794893541618,-1.242997362303438047)    (-1.3846619072387775784,0.69808830397745069707)     (2.0360751659567468685,-3.3241062346543643891)
  (-0.36106554710003307962,-1.8252669783203034903)    (-3.0124086505772611488,0.14552860283863169877)    (-1.4179058091995990765,0.77080124527662963185)
     (2.5844066224629269612,2.0437742238067433398)    (-2.1951851411815526127,-3.5414302492526799071)    (-2.9626272489442313507,-3.0607198166620581681)
    (-1.1315644807127149818,4.4446482231959585363)    (-3.6041201635863848729,-5.0656757649557704326)    (-3.1402861844101259692,-1.9621043691367583417)
   (-4.5992858911389227217,0.83670135596884975815)      (-1.3511001476976869373,1.599613958207683817)    (-1.6669027666016495992,0.84616877141818025443)
     (2.4210530462892414505,1.3629078311216415997)     (2.6811802714169714612,-8.2402186588670573997)      (5.0752609654120792726,5.6192912634053469034)
     (1.3396688682168260698,2.4873263057105194918)    (-4.5099856508179660963,-8.7582091280837026659)   (-1.5871391310940261565,-0.42595445831386413715)
     (2.3441736788304377015,-9.675084478412911082)     (1.4265777497050522449,-1.8513393194681686538)     (-1.7198792780277420977,1.1547918947165545234)
     (1.3258671658731016052,4.7391051198170970338)     (1.0470089117722825023,-3.5422992113635412004)     (-6.3636953756253138437,1.4808643783029997731)
  (-3.5989691306807958249,0.077921024652563439239)   (-3.5065671467670949113,-0.15701239539774247689)      (1.3955981640708219338,3.0121556743095023734)
    (1.3540470383475697869,0.44782002224142375413)    (0.59511922969029684705,-2.0433873618218076906)        (2.89325466448248525,4.1984337615124278642)
   (-0.75715571431635497746,1.1653830119127344123)   (-0.88051053357509168062,0.21081879652862803298)   (-0.74171238036733599941,-3.0534469099718761775)
    (-3.1064151298535862544,1.6088245852583682449)    (-2.3364387740937320181,-3.1350925704995549204)     (-1.798536378127138402,-1.1584265749931244027)
     (-8.858162822811317838,-1.099949756203129958)      (2.5446946615191872176,2.7477071940674759887)   (0.018916169607503169336,-1.5174051273848532251)
     (3.9470751178963281447,2.3204502168547787022)    (-5.9226633147842395744,-2.6120566489351344508)    (0.13484890026483803416,0.54167243095875727832)
     (1.5529480605956083039,1.7094572122284761306)    (-7.3060559723767592999,-4.0616710032247480555)     (0.43324615333855942545,1.2164866847562114671)
     (2.8444511238490033378,7.9753354818119186476)     (20.421372546725628183,-1.3175301427709427138)    (0.72077814541439810814,-1.0390290255672502973)
     (1.4825445558313459227,7.3126871489031008977)     (18.063011316238188897,-10.419389840348911136)      (6.5632261633485704522,14.734219245064064552)
   (-0.7944160196862198875,-16.528140951668486736)   (-0.29954807208629308235,-15.368994103812115171)     (10.702415117657345434,-9.7256694723265137981)
    (2.1997276996742338717,-11.124964277825299064)     (3.3657221412187063869,-2.2845655747444491013)      (1.0300208393978849131,3.3266356078938588148)
     (1.3006883941048161812,-4.616570585665538573)     (-3.7389148785811894271,5.4926516128246163362)    (-2.5632347890823430347,-0.7921479588087451118)
   (0.54221213146458535626,-2.4817736263568792587)   (-0.43378620783015342521,0.57962928852428674542)    (-0.26465441660778687982,1.5344269040814420002)
    (0.34860690171781971713,2.8234703730529311372)     (-2.3909939517868452619,1.3966809179797341489)  (-1.9001063456788165329,-0.093201429374081878887)
    (0.48520568339997299789,1.4068729704192262098)    (0.27383454231933829215,-1.2881169852925025143)   (-5.2252578466322869843,-0.74167536075222773029)
   (0.42537713438797009058,-2.1814201260361225643)     (-6.138881654046352665,0.15989823848733794587)   (-0.91138150185347988064,0.45260233784094028309)
    (-1.6948926185854902293,2.1663529050100058804)   (-0.24341045823465468079,0.54626290293363766182)    (-2.5135136697865902988,-5.7769573607769215684)
  (-0.3763491171145709191,-0.53243297426252766957)    (3.2960582082828895345,-0.48327514153844208789)     (3.2319267789904624344,-4.4111432460326653882)
     (1.3341369189594465272,6.4882648188134570688)       (12.146765169114605243,5.222342553457894887)      (7.2945772836967970321,3.1584538793457799244)
    (-78.586033613758729643,5.9853153947664035073)    (-13.975224790073399461,-42.195212248640899588)     (-11.015884625148061104,55.639046250388496162)
     (3.5849062764367456424,7.8561618219873814439)       (4.1210345824221299438,4.607630432740341675)     (6.4897182946129152725,-5.7434521219938305947)
    (-9.2269657468421790725,2.3482762571174831123)     (-5.503634771324352748,0.16457341064464839353)     (-0.090472160490996128557,3.43129516131711787)
    (6.4604034062266109117,-1.1712312289017303701)      (4.4792608966432307938,3.5963633520758579998)    (-4.2345313849407375528,-2.5784503531875526683)
   (-9.6665513344040228105,-1.6099702858211288881)      (1.173758662586436019,-1.5783213316892872324)     (0.27081413365554524164,3.1775062849941533294)
 (-0.43636999543736493257,-0.48565431617334647862)       (1.63539472117882001,-3.8265840209177315323)    (0.47505476475538255254,-1.9172030080675384056)
  (-0.63927667467463455964,-3.3553554895884647458)     (2.0627930216841092737,0.54489612864900394129)      (1.766471630977991536,-5.8622124493418619195)
     (3.4416761034584508749,5.0712904043554178912)    (-4.5833943548040538829,-3.7429003222909535964)     (-3.2894224572597421385,1.4455721930139378006)
   (-7.3847474127991548087,-2.4832212461660665426)      (3.2678978073659985526,1.8858599484405205171)    (0.88774288739713702601,-3.1837129399228065729)
     (4.5942864618772025764,1.2573546454864448219)     (8.6741816737386745473,-1.0432129047831095736)     (8.7565670624165470315,-2.4660301918767792984)
    (-1.2265938829554530187,3.5083004847217256206)   (-3.7001054057842606149,-0.70741888465568003586)     (-5.4840036977142636587,1.4054823012439621177)
    (10.338363617859489096,-1.2392742150006725854)    (-5.4166770851407983756,-13.224948043986488599)    (13.887592323498429536,-0.82476664037108926575)
    (3.6195703709041753271,-7.6570765583894582207)     (-9.3656536122321440985,8.1429981905333850278)     (9.0208026695061676037,-1.0231332102723162958)
    (1.7585979424715927344,-9.8669875003347637943)     (7.4715957566967148296,-4.2959032616837218299)      (4.4727053182873452997,10.961369095913907401)
     (1.5843883982767021923,3.0188560342479067167)   (-4.9756432898112867846,-0.72657015201864472154)    (-5.5292979080060487007,-4.4834446251021473628)
  (1.1177610726111906203,-0.033510746698380472486)  (-0.77338469639409690437,-0.76505167314899569231)     (1.8810835824759628565,-1.8954312629700758031)
    (1.2507434921936950722,-1.9902220441833953224)   (-0.40071214217261208468,-1.5496824317363115942)  (-0.36153380458890299609,-0.41487019794356067015)
    (-1.3971530367503497416,1.0043902382448699484)     (2.9883067476413529562,-4.6188967463944363701)      (-1.4767681149079479042,2.722394461572666291)
    (2.7139322597269055493,0.69714013491845372439)     (0.58887179265296407671,5.9671575909719489772)      (1.5065422343264154303,0.8644326470718889377)
    (-2.7228179132276135732,5.5645963233690425298)      (-1.3520373433763088755,4.150922452903677673)    (0.75470693679435441048,0.81083927300665736837)
    (-6.707174425123744399,-3.6962308207192697829)    (-6.3753438795720311916,-1.2100230793880266678)    (6.3042206237816422743,0.092822047793779241531)
     (2.1137009689343035923,1.3513805855658715949)      (11.896475661432052817,5.2232979485836530387)      (4.3210624675551283502,1.3369162284587770007)
     (6.6724191383513273834,7.8859281281195947599)      (2.577334396035879216,-7.9207682527107463599)    (-4.0081988347681223317,-7.2041933232225430217)
   (-5.4861151634616946993,-8.1970726625955876443)     (3.1499743146441923081,-10.751345967347354815)     (4.4579459136668688757,0.10888755236697134077)
   (-6.5409994598103367025,-3.4796222821815483428)     (2.2068666234966753947,-1.4879978943128562285)    (-4.9636035208976370114,0.48210261328089476507)
   (-4.6656080954264442795,0.66881230402005087399)    (-0.17937528896350851682,-4.963095697503200121)   (-0.32576853491058710421,-2.3776380651968485047)
     (1.1718708427594415333,-3.042660021202509224)     (-1.3467445847864287778,1.8939839489915617499)      (3.0930037297100470006,2.7900903054760810562)
    (1.9913795416976514119,-0.6579210028078334993)       (4.2126511167076614583,1.389890782359374688)  (-0.10683422223891990421,-0.26329038289018508179)
