# Superpotential Type
Custom
# Physical Box Size, Power, Coupling
10, 3,  0.3  0.3  0.3 0.03
# Nicolai Configuration Number
0
# Solution Configuration Number
3 / 8
# Sign of Determinant
1
# Norm of residue
7.84769e-16
# Configuration of a scalar field solution
    (-2.6489014735971951886,4.1769703326450349223)  (-2.1991443502707652691,-0.076415730926474842444)    (0.21213776712295265292,-1.1504549482156496421)
     (2.2075825435452482992,1.9320990348881568188)     (1.1274118896144815771,0.40345808414955480758)      (-1.1232272373602043558,2.794083012437728275)
     (1.629451704559190528,-5.3695571540198878679)   (0.055748378501277423558,0.44054010289618261709)      (1.2527539193892529568,1.0898903884353097204)
   (-2.2356558486776378913,0.49254262330152015492)      (2.0791720490877674266,1.4534688872853005481)     (2.6125598177114821574,-1.2767045025711842854)
   (0.42083349923285595651,-2.7113835179023126898)      (4.2684613741348682581,0.3722358027793880586)     (-2.3230670993164559412,1.6345379906392092373)
  (-0.023510467412961724015,2.4248366331373225613)    (1.1173485757277969999,-0.62158305636208166511)    (0.060980265278137650575,1.5580610116383077912)
   (-2.5536034602157058337,-2.2355240941590874826)   (0.85005405259069333201,-0.48692167192402668885)  (-0.070400237492397155226,0.87094211618964401111)
   (-1.2459316563363607155,0.76057979479038506643)     (4.3116996917534642364,0.82202200591054142009)   (-3.5721749002278855301,-0.98496982579071112873)
   (0.76655531852643099544,0.51640470770667257217)     (-2.1484468467011388348,2.0334894184302196862)    (-1.3080643107832121697,-3.9175157728034486482)
   (-2.9525417462899130605,-2.0650297042815917159)     (-3.0739536809721608179,2.0814955355844841911)     (-2.7531386928959133975,1.9239659315499890724)
      (0.4973932002843445277,0.748010007641106478)     (3.5909940355094325248,0.91389015964351827392)     (1.3243308898933623396,0.83916780987349104404)
    (-0.1380574720158166957,3.2810126723172561292)    (-0.87766815559834765459,2.5972490055564620981)    (0.47514891554951349528,0.61754489853110783315)
   (-1.2466707839950015302,0.86955690166273102992)    (0.55376652154848304832,0.13329010507573399447)    (-1.6788523249364069034,-2.5228389837343958568)
    (2.8799269904823003863,0.82079794212661039143)    (-0.85295650070680029131,1.4046424255325360431)     (1.5126219966941860662,-1.9580225157764665767)
    (3.8743394170102702923,-2.2313474300641624737)     (3.0877098154171829236,-4.5866899690279065993)     (1.5815794186187841497,-3.0607402400511092289)
   (-1.7622988812317779139,0.49608058262408982753)     (-4.7143091829982743945,-2.032085914819365513)      (2.9592646672501015104,1.7639138671939786907)
     (3.1286148603128780543,1.7777066902490636924)    (-2.2375851432331388402,-1.0190200562137907703)    (-2.7725001726405422708,-1.7334213894533760936)
     (2.2370047554163692283,1.4998430626680734346)     (-0.29637642036719824556,3.771782970775596322)     (0.73715335457017439058,2.1899367009115353611)
    (-3.3439578860841647767,0.4023473316076383588)      (1.3017254346339286464,-2.103873261530906813)    (0.20144358483453417286,-6.8008580870780042105)
   (-2.4305814741181195338,-4.1755740323803056668)     (5.2853225594751549465,0.90423016180729132163)    (0.74745193352538741305,0.27017488908831738259)
  (-2.3660532790854995611,-0.81040647554931333207)     (3.5636746085439860998,-1.1342255063603683407) (-0.066837690764271512345,-0.76579072988529395261)
    (1.3524764271778129121,0.45297391579514417748)   (-0.8193318781617056068,-0.90614269590908447238)   (-0.8709085288236079192,-0.21534295459377780779)
    (-1.6878053284955447655,1.1182453261582598891)     (-1.696473149785256318,0.61616655628704719572)   (0.15610069268918175256,-0.78679670975745397143)
 (-1.6375047927191523911,-0.083837898910728736457)     (1.6634591582990927439,-2.0976319949904507212)  (-1.1440442033765725327,-0.056608627130913261039)
    (-3.740698951936328065,-2.3396534640442192554)    (3.6541177654092313887,-0.46171310257504194485)     (2.3144078443464581873,0.13934307055543607157)
     (4.1675849631666030959,3.5947651275647660718)     (3.9414134408067962312,-5.9457197230753378037)     (-1.7261492278796435329,4.3928795491550909347)
    (0.33702349311061219339,-2.763092965051338723)      (1.630784195698753658,0.66619190458917176834)     (0.25782412986259545251,5.7558065222056278287)
    (-3.8463301386592725351,1.9194631814219740296)     (-3.2546770741416626294,-4.636150275747126237)     (-1.1771122547756904808,1.9508430061666177657)
  (-9.3872651724327322853,0.077986459135098259998)   (-7.9577956532331075579,-0.72399372705186226806)    (-1.0832542107806910625,-6.8004337461580641744)
    (1.1704307186259532703,-6.6649623355094336219)   (-1.2078243834414352786,-0.21453559186154530503)      (1.9214708551130750269,-1.668005417383792599)
    (0.61032450355974643408,2.4795815315722400385)    (0.90635286797598713093,-1.2812422470365492089)    (-5.0210451144845276161,-1.6032699009544326696)
