# Superpotential Type
Custom
# Physical Box Size, Power, Coupling
10, 3,  0.3  0.3  0.3 0.03
# Nicolai Configuration Number
1
# Solution Configuration Number
7 / 8
# Sign of Determinant
1
# Norm of residue
7.58265e-16
# Configuration of a scalar field solution
     (-2.067915040788158354,1.5578359522016274052)     (-1.1108558431729933513,1.5212369103757874544)    (-0.3250731131124988682,-1.5493262013616091455)
      (2.562858303790138681,-2.457948268391488611)    (0.35188529730148432328,0.54071886339210739614)      (2.2562776273163831497,1.4093110755653193156)
    (2.5072159597493581806,-2.4848136275132008954)   (-2.5579911177646610376,-0.56230460570211227012)   (-0.80638571497179201142,-1.2231439045606966598)
  (-0.15116232119931799494,-0.9887072314405684903)    (-3.051984236226684466,-0.81887090997301492656)     (-0.8619920540393705144,1.2566254333114450503)
     (1.3552898116057074951,4.2629416529744785791)     (-1.4689017056864193123,2.7159876299972429692)      (1.7088284288988595527,2.5963260127665179766)
(-0.041960201871134958362,-0.75152652129384689417)     (-1.3474772463112743015,2.6643713073395574042)     (1.7576586770515141289,0.30513987185193919283)
  (-0.92097757217263331864,-2.8680191863923605311)    (0.92018786311376310483,-3.0340716576005934968)    (0.87931458804858064759,-1.3817142016931009962)
   (-1.5043816104425609126,-1.6925756292567635253)    (-3.6298981031456802882,-1.5458968290195005402)    (-4.4512558282402387988,-2.3372282772441761445)
  (-0.3801574777817138262,-0.24565829849343806535)    (2.3669013196667822996,-0.95488796858949487323)   (-0.071927876997876685761,3.2270696089939652218)
   (1.1231153921797363271,-0.79327258082013252238)     (1.1762120475314208345,-3.8668880430842471618)    (0.56029082725939682863,0.50733768483606633826)
    (0.8282875885130827065,-3.7223394613125866393)     (-1.4316658160057911253,2.1788281164745622043)     (0.80109816997739613509,-1.010185959395864419)
   (0.31838135322338179112,0.36988779708503505272)     (1.0056235919328215811,-2.3511269920591857385)     (3.9175621868827565919,-1.9733804531805334559)
    (0.23665881563386687025,1.9529870494255461288)       (0.84928885701605205671,3.87257945619994981)     (1.4313865365963793774,-2.9967645999538645718)
    (1.1600778732668004523,0.52908828012634334659)   (-1.8299875717572666733,0.081294797800139623201)   (-0.92544784294607562725,0.34646668717400580517)
  (-5.4039851365097213431,-0.96117126705462940794)    (0.52278415818524248682,0.61485713544639064576)      (1.9773095240993114885,1.8742378331865359176)
     (1.8560101988446495724,1.5894014778850591441)      (2.3268714421511957902,4.7876598508242551588)      (3.3683036327225654993,4.6881891205740853223)
    (-2.9219218137474700647,2.5688894772436206004)   (-3.5306394220154664332,0.055790861737654427743)     (2.9674854401053232245,-2.2321652399494005259)
    (0.7372946035087817318,-1.2977889909908273403)      (1.175553303569225827,0.86357037322969365523)    (-4.1884604763000314875,-1.0554020210520809187)
    (-1.3427895915135004135,3.9813094865495006758)     (-1.1331875484398383769,1.1263413926431362633)      (1.4139960324045783846,1.8853723801331736531)
  (-3.5550364779812642091,-0.76045706513665078941)     (-1.585121365898173762,0.20736055673229919494)    (-0.31207762369144814718,5.3171646834310113405)
    (2.7393112318063361776,-1.8131591076418702713)      (1.8760375863744580549,3.7031272318877075378)      (-1.4377468595626072823,2.238350045361398255)
   (-1.4014900283811642101,-3.1241949998940699018)     (-0.14425046226445353836,2.439663371441652906)      (-1.6075738672474946256,4.824627485584898956)
    (-1.7676434351965313319,2.1665889709314476441)   (-0.46022314915035622551,-1.0703063927928366805)     (-1.1010213039737348772,2.2169791195140291507)
   (3.8241903295226875592,-0.64262947604457365536)      (1.548989543194878804,-1.8387563208826220862)   (-1.1059540144500006331,-0.10941460252100568273)
