# Superpotential Type
Custom
# Physical Box Size, Power, Coupling
6, 3, 0.3 0.3 0.3   3
# Nicolai Configuration Number
0
# Solution Configuration Number
1 / 8
# Sign of Determinant
1
# Norm of residue
7.92966e-16
# Configuration of a scalar field solution
     (-1.2348806508991743147,1.687479888749049195)    (-0.50458400509248058086,1.8574798523405648965)        (0.818924358087043891,1.080222239668327866)
  (0.11141807731413701232,-0.82788867362876727984)    (1.8719904688178485852,0.084900953425807390573)    (-1.8822625540236446184,0.64115248082164655319)
   (-0.36134112195585066374,2.3092862637318716246) (-0.94146022875513135642,-0.006180792639405245821)     (-1.1528217948679817528,1.3940997142401869713)
  (-0.80285982316602155784,0.68146926850514588647)    (-0.1119804082892868341,-1.2370543315409661123) (-0.058746895836852615347,-0.34618749558614420048)
   (-0.72734104100384810998,1.4434876559867713119)    (0.39041644207209041939,0.54224028789005973561)   (0.68830233770475734989,-0.62864518350944909031)
  (-0.85468539506486262969,0.62092599465004416626)      (1.6182484886513164302,2.4504644223755538412)     (0.75518079304384644335,2.1254497785145280986)
     (1.5433753921172739254,0.8729362943491927318)   (0.85223099676437774619,-0.55836497683097785494)   (-0.38152410784637352803,0.13879211997468662854)
  (0.15368174230394066049,-0.23942949485590864223)    (-0.24866826534959923789,1.3193625565662325805)  (-0.42503634899516634649,-0.88428741140020583611)
   (0.70794051385458367509,0.11594628081741235881)      (1.383604828445014423,-0.2443997349215827064)    (0.81105126480333589178,-1.7772062793721494778)
    (-1.6222576883121841984,1.1346827544771569407)   (-0.60197564601868747136,-2.3447113405998352142)    (-1.2741266331800265021,-1.2232818920864230172)
  (2.8001575599106147685,0.0096484953012594652788)   (-0.43826790763781359184,-2.2256267827254534453)  (-0.68944890969424432736,-0.37099993282682147688)
   (-2.9968483747881045076,-1.4599130595545750655)    (1.6423918726077941788,-0.20979913048910048268)   (-0.60290700833085397736,-3.2001544215553994199)
   (-1.0034398312064198855,-1.5644533499200568016)     (1.3809037041530436429,0.21326132428170141431)    (-1.2150372973987790814,-1.8804272189353201661)
