# Superpotential Type
Custom
# Physical Box Size, Power, Coupling
10, 3,  0.3  0.3  0.3 0.03
# Nicolai Configuration Number
1
# Solution Configuration Number
0 / 8
# Sign of Determinant
1
# Norm of residue
7.78857e-16
# Configuration of a scalar field solution
    (-1.5479594274958297095,1.5793025646929770289)     (-1.0705324869860748382,1.5282599302821326948)   (0.050336598154980559394,-1.8515167676979722433)
    (2.7332589968550928816,-2.8052806542095254372)    (0.33415146502347464752,0.51539948180744354911)      (1.8296839570854810386,1.5331067631999566458)
    (2.3081152336511956413,-3.1418264514053810821)   (-2.6188153095165476181,-0.59775660150744391874)   (-1.8939097588993958343,-0.86771583845556810033)
  (-0.26113178483025289989,-1.9180517052695087443)   (-3.0373046498281248695,-0.86589896419023049123)     (-0.5313889494828094584,1.5589543061294075521)
     (1.6413516535863481582,3.4671946206749759689)     (-1.3655919195361552188,2.6910201297620761629)      (2.8195410835137120209,3.4172831245216936935)
  (0.18776950771418865482,-0.94686935446111386572)     (-1.3277176997929931446,2.6686755124973511322)       (0.69180368774328449,-0.1432838718333044048)
    (-1.916724960343040074,-2.0769283957293791509)     (0.81343568643382913042,-3.031205076048399949)     (1.1234880840648711064,-2.0777748825016360001)
   (-1.8348672927196021387,-1.7283947886577737396)    (-3.6366620263129822987,-1.5288338863144368407)    (-4.0572195839371252291,-1.8722481724916968382)
 (-0.86031304051151402668,0.055584923368772007346)    (2.3036628656471194176,-0.93996752093045787824)    (-0.72411342574153025886,2.7567957015041826274)
  (0.88721329082088029594,-0.37254360721953427849)     (1.1372653453870498197,-3.8658288969439573712)    (0.34187181232158581068,0.20185679555412602837)
    (1.2930023119417255462,-4.1335088793494207948)      (-1.3939971124689987114,2.140949174796276111)    (0.54900860174785248713,-1.3513256922798875248)
   (0.51051259719512021018,0.38640652975998673879)     (1.0134104801143239971,-2.3426935871647192045)     (3.5009947766825733062,-1.7043586542739483924)
    (0.30230517852993304961,2.1202910047125902437)     (0.86440635976583557465,3.9000951543429653867)      (2.004468369916377668,-2.8684483505519482449)
  (0.62907262746480474558,-0.15190252494449008047)    (-1.844272411550580193,0.043472762505410461609)   (-1.2818813092223626526,-0.34224580095224027554)
   (-5.8432616113498587751,-1.3359107387876545392)    (0.46826592825485435778,0.61217661107347465244)     (2.1924070948089688926,0.16454064174968835443)
    (0.73791677925820786665,1.4867838225144767161)      (2.2752551211807130471,4.8491725786843344892)        (3.27355219090447358,6.4712119497966202886)
    (-2.5753635371167122869,3.2967003601438005234)       (-3.592168661461005108,0.194348056158790361)    (0.57903604062191449398,-1.1302861259019549856)
   (0.35473597916333321489,-2.1491797648787405173)     (1.1375183828229833427,0.82360418543440183647)    (-3.3481140537612237296,0.34715717730399420216)
    (-2.5339149907584030963,2.9922729881161731491)       (-1.255004052413106086,1.024162096609110062)     (0.12433519979181027748,1.5267762020569932702)
   (-3.0708234631178412677,-1.6602169244869682263)    (-1.5665880744100799671,0.14743005162320646506)    (-0.74013464382362070815,4.3573081860115667752)
    (2.9998123115879211653,-1.5238195720697174096)      (1.9290199788572248707,3.6985239992457756841)    (-0.22307757729245150657,2.2326500498241870218)
  (-0.99346064235433384493,-2.5553519201424812479)    (-0.10303836693527260171,2.4852562663025419276)      (-0.86518872815895986328,4.96897422036010461)
