# Superpotential Type
Custom
# Physical Box Size, Power, Coupling
12, 3,  0.3  0.3  0.3 0.03
# Nicolai Configuration Number
0
# Solution Configuration Number
0 / 8
# Sign of Determinant
1
# Norm of residue
8.66741e-16
# Configuration of a scalar field solution
   (2.4478455287242990579,0.50938504777145499069)    (-2.6547207908147676392,-1.511232987198737332)  (0.44288860050030692816,-0.87228578131107414873)
   (-2.0020377466035013114,1.2954684486108956065)   (-2.0574031819526448217,0.46958969789868421074)    (0.39361980941243390753,1.9342070614772610693)
 (0.14649757607584229513,-0.34557478808908381751)      (3.0790389643344830972,1.796224226247575384)     (1.4795297778236784492,1.2446397142777885225)
   (-2.0771499966464732623,3.0072410255771382381)    (2.1872992476034935905,-1.2841781535549325888)    (-2.3996340462048748599,2.2629761905699914415)
  (2.8984699967466842629,-0.98008055531918703007)      (1.7238329890147718881,2.843695746119828005)     (2.0448185263577864923,1.7674172722419179138)
 (-0.22880222084155715789,-3.0436009194221567142)    (2.5319899070063383029,-1.4254248671024389861)  (1.6462445906332878742,-0.093894754534263921708)
   (4.0668975462691729916,0.12805686945776903474)    (-1.4210462198813134105,-5.630936505175347051)    (-1.4903287223423320462,1.8297189980041250745)
    (2.7263937426985420664,3.4082332022502828117)     (1.9181089833912512432,2.7708208268655143414)    (-2.8782438448698051126,4.5735806845999613657)
  (2.8538004128440874752,-0.81719269902237756664)    (1.3968236376125668929,-1.5541131465450070959)    (-3.9557539715774430178,3.3193257156655269213)
   (-1.8114806274189385604,1.7892825973628103675)     (1.3495649720923363901,1.9287728322325221608)   (0.69235862898446431934,-1.4226798004598146807)
    (1.4369969409969534091,2.0566668511060055557)  (0.94302135376229956343,-0.10718775645417802367)  (-0.51231074648597663135,0.32168592157412184696)
   (2.5310452309368232093,-2.5424921210363846669)   (-2.3568064961895527354,-2.4562879272580371293)    (1.5462192297858303736,0.31191768134682967828)
   (0.31547101293798551769,2.3084124650905573084)     (2.2380350228928174161,1.2749994212777100433)    (1.7185754474024057536,-2.8969743431055157146)
