# Superpotential Type
Custom
# Physical Box Size, Power, Coupling
10, 3,  0.3  0.3  0.3 0.03
# Nicolai Configuration Number
1
# Solution Configuration Number
5 / 8
# Sign of Determinant
1
# Norm of residue
7.63175e-16
# Configuration of a scalar field solution
     (-1.5862424310438465458,1.5900622899046110703)      (-1.1074307772271181349,1.4994899548151108259)    (-0.32372316869461925659,-1.5288849477266408527)
      (2.779544589774048724,-2.7884306718529874303)     (0.36711951254016089718,0.54248755582514052165)       (2.2502954953632321455,1.4055025973902326442)
     (2.3893491984171100206,-3.0736686228284009204)     (-2.5624997488424035019,-0.5191234228206871304)    (-0.82805099046548413799,-1.2709184705437321927)
   (-0.28659552258572273953,-1.8441005180584117973)    (-3.0518399839754821734,-0.79736647931010173895)     (-0.87733730454094382978,1.2254037299516555848)
      (1.6256864997481290658,3.5679400256516542456)      (-1.4115613152475061653,2.7653546442835552632)       (1.6421342146619943847,2.6073115181250368089)
   (0.15624135176270823044,-0.92384929185518827044)      (-1.3565796403507450751,2.6533943026604651649)       (1.7636423820877626945,0.2927907663410099226)
    (-1.7988659552232533212,-2.1499051683101910726)     (0.95483288959546119834,-3.0376330629286454332)     (0.87011591245105812664,-1.3831348710158617443)
    (-1.8408803687756700729,-1.6411917307981120917)     (-3.6648195226360367194,-1.4742302707856094202)     (-4.4752710810041262945,-2.3887277701121458762)
(-0.81960061167858122566,-0.0090593182209612287126)     (2.3464195158714540312,-0.96489740205438112586)    (-0.036626023429784285157,3.2138558659953924135)
   (0.91586000989095139868,-0.41286781823976254069)      (1.1899969882577703384,-3.8821791618619352349)     (0.56415482747002143604,0.50250198780372268281)
     (1.2646874317294789503,-4.0880584745322918749)      (-1.4323888813098391015,2.1728903619426094274)     (0.78991348438449004998,-1.0103396137585325398)
    (0.48880162234443119695,0.37819792653880734967)     (0.99916826010245041179,-2.3450014407150572282)      (3.9336597819933531994,-1.9875588589543977669)
     (0.28021878093016350242,2.1478057142691393544)      (0.83192195631442777959,3.8998605838466740003)      (1.4076390726513321461,-3.0110352499876036347)
   (0.66348875981716459727,-0.15782861511780918451)    (-1.8032880251550778006,0.049347427393460659151)     (-0.94316418714503025278,0.4017411582780875956)
     (-5.8683732075549475127,-1.392244196106092069)     (0.50521427161783427628,0.54684564829112669582)        (2.009618905264420885,1.9608077098082383749)
     (0.80367990337337280593,1.3400502657522848082)       (2.3529501747671313083,4.7584804034877201673)       (3.3827674519350985349,4.7938752566541156241)
     (-2.6087425552762164571,3.2096153594485699045)    (-3.5473478093908172859,0.038398151933714153028)      (2.9569800360427787034,-2.2483276718212810152)
    (0.48703217045304370014,-2.0029953812440259853)      (1.1716967969127647375,0.97863567891152303257)      (-4.2725209867330420366,-1.074451119810900801)
     (-2.4653711109335154639,3.0821866523913645786)      (-1.1902290682191314364,1.1108584846789795186)       (1.4312269932740415701,1.9081860913339296904)
    (-3.0989034112631870244,-1.5801678758970409966)     (-1.5880006834470330457,0.23052960828976157281)     (-0.31980445566527360146,5.2742239006810267554)
     (2.9949043518359497185,-1.5868787437209390667)       (1.9165164035950590371,3.6779885465932973254)      (-1.4679605018527317473,2.2622873527213442912)
    (-0.9926679812028219585,-2.5955334985084026478)    (-0.089304210291450691894,2.4609301860870442802)      (-1.6473541256505848107,4.8403455553269489897)
      (-2.0384176507778080101,2.532907628817118173)     (-0.45646002510464345203,-1.070924361071741604)      (-1.1016029555950646035,2.2310431975445763619)
    (2.7373061892191232758,-0.58908909561196753923)       (1.5453381513751021092,-1.843287463762997902)   (-1.0801605542588319508,-0.095835064549644008447)
     (-1.9777359193662424897,3.3069700330842040081)   (-0.63433238584429274542,-0.96889819203305360684)      (-1.4757161815995845089,2.2453367568569300161)
    (-2.0978709693999331165,-2.3353924804951033956)      (-2.055618535797687052,-2.2740229603141344228)      (-5.9039992320647121105,1.7371690169178413132)
     (-6.2521468141218079495,1.7578431670782008744)        (3.1404712058869690416,3.913356077489542173)      (-1.1468567205430526545,12.347103170892570034)
      (6.8516768014954090305,5.1761410055607655067)      (-4.3093207114217344511,3.2084161201088252646)   (-0.052611018465489156615,-2.4202869796664114865)
     (1.3239031490706374417,-1.2974395100723408181)    (0.30389884450252319104,0.039722551714262185896)       (6.897626126048141515,-2.3870713228687634455)
    (-7.5721737061302736294,-2.0866683506014753746)    (1.8261609073650164614,0.0022126114344969000092)       (-6.135759272814858889,2.6316460436177115945)
    (-3.0254983648056867906,0.53948403431782376849)        (4.0894363718817690057,1.063308441933220827)     (0.40854324530568497664,-2.2050770821176808312)
