# Superpotential Type
Custom
# Physical Box Size, Power, Coupling
10, 3,  0.3  0.3  0.3 0.03
# Nicolai Configuration Number
1
# Solution Configuration Number
6 / 8
# Sign of Determinant
1
# Norm of residue
7.83492e-16
# Configuration of a scalar field solution
    (-2.1113257324882677146,1.5556928606105164814)     (-1.0769930901343949259,1.5333148505221503299)    (0.053912955046473809428,-1.842265143836513186)
     (2.510119613002335992,-2.4161776550736879798)    (0.39364215866475832373,0.51970065357828210129)      (1.8631359516731982318,1.5290351331093980924)
    (2.4825627148185507309,-2.4687532818728787909)   (-2.5450440627716166553,-0.58913888652928381173)   (-1.8507045023773900372,-0.89491130198180623978)
(-0.080624666226873378805,-0.93526531654077926792)   (-3.0566154852560338817,-0.87696757464624985889)    (-0.56012146979078414333,1.5865605332970202923)
      (1.325863828147270107,4.2611582628947202167)      (-1.424257833757694991,2.7318792485085698907)      (2.7874516773422057803,3.4691922952365250588)
  (-0.033565038463163249238,-0.739029528988790263)     (-1.3292344036847676403,2.6720286964179846834)   (0.73571749621096649285,-0.13628028695974220286)
    (-0.89568354535830063679,-2.93445094417690866)    (0.88940167981608897474,-2.9865431318457771326)     (1.1827687733417007188,-2.1044156851935400532)
    (-1.469280415341364332,-1.7883964960340088535)    (-3.7048500750003565685,-1.4688653893040446441)    (-4.0763138926597379808,-1.8096657256006285497)
 (-0.35230329318132713734,-0.24690437256278671696)    (2.3246627551375058651,-0.95393551288318301218)    (-0.67905966025968855782,2.7702433077485375534)
   (1.1162131813382420997,-0.82966624563601931719)     (1.1675026878689926946,-3.8484371215017971757)    (0.37346773434171814943,0.19786681749825910104)
   (0.78279864984048308507,-3.6844309607841125853)     (-1.3844679275789475437,2.1459048893583991813)    (0.55924431724129330945,-1.3389526988931272911)
   (0.32604512118317208191,0.36173996037247313495)     (1.0294722589111948707,-2.3447129364718604094)     (3.5029231651200443132,-1.7221778192003522889)
    (0.27084634817481417768,1.8847064037213803189)     (0.80888426395388335344,3.9252022310625691581)     (1.9817333710761941834,-2.8346310205961091633)
    (1.1960815427506941155,0.64612667210358665226) (-1.8243704166410847911,-0.0073167758236689613496)   (-1.2626112046682012036,-0.35681335144190501341)
  (-5.3311863853761840559,-0.85333385875593270598)     (0.50498199902354878876,0.5969876349014685557)       (2.253972393273671937,0.1699711994197519449)
      (1.9554963872313340101,1.761512469621292265)      (2.2609286189846242721,4.7004514214801256244)      (3.2665461736153034167,6.4141527998889626971)
