# Superpotential Type
Custom
# Physical Box Size, Power, Coupling
10, 3,  0.3  0.3  0.3 0.03
# Nicolai Configuration Number
1
# Solution Configuration Number
1 / 8
# Sign of Determinant
1
# Norm of residue
8.24154e-16
# Configuration of a scalar field solution
     (-2.062920800065411342,1.5383380987748085378)     (-1.0856230946533069748,1.5928985390531402722)     (0.07746448457728369319,-1.852305553335028554)
    (2.5073210850904499303,-2.4470151085332014773)    (0.04088957416290045499,0.76987449736685997781)      (1.8319742851490685709,1.5060460445884111813)
    (2.4243165570939746445,-2.4830261520498986272)   (-3.1168497133150716571,-0.30556098231916067887)   (-1.9004987614902384419,-0.89500295158829867859)
 (-0.11387236195842290187,-0.99048059556287426641)    (-2.7043986819627887641,-1.0204358417273819981)    (-0.58257390023206589991,1.5492393059082514295)
     (1.4353452905162031872,4.2279889569329194288)     (-2.0885319353545193088,2.5572647928294109931)       (2.820878964165572711,3.3801070147430793966)
(-0.058653968829691309483,-0.75325469503583497577)     (-1.5301500590856620398,2.4033524887298911565)   (0.71117217554253886469,-0.12767194559103717255)
   (-1.0082569021252532071,-2.8916517313937792899)   (-0.25970580377093632762,-2.4235891788044745532)     (1.1155365805694021919,-2.0309994653782159624)
   (-1.4932125987826532221,-1.7890450796892682916)    (-4.0531708594852036143,-2.9414576643835386172)    (-4.0670132734896435878,-1.8320277433226845876)
 (-0.45192656861976304716,-0.23360252927103195009)    (2.3114675007357767811,-0.74733112020890912763)    (-0.72149621708264288777,2.7967404996600784273)
   (1.0990826426521567161,-0.80415369660545321651)    (0.68782275181121055319,-3.3960587119862259975)    (0.35581703463536934473,0.23090250290215222351)
   (0.82862125152952181839,-3.7377905623523921541)      (-1.5770082891073318176,2.069648092208779655)    (0.57466441377733135099,-1.3809720314801412488)
   (0.33249551686652090154,0.40029620961274936519)     (1.2060619569822297326,-2.3262624709445285376)     (3.4960685638864572589,-1.6963521761232800422)
    (0.30811996584853351688,1.9349028999387383188)      (0.5844819260088122137,3.1888196344263013415)     (1.9940074745523610478,-2.8078553168291375819)
    (1.1502632605582485681,0.57689034213635170811)    (-1.5580544095004602578,0.97087577841751682151)   (-1.3032607821730732844,-0.39547759214491556845)
  (-5.4535532228564083113,-0.95182863658029226439)     (0.89808847796594160062,1.5481241700837342634)     (2.1948122836840378014,0.15364056444484910924)
     (1.8764385923335251682,1.7616625750657735061)      (3.8540213684917628001,6.5209601617987349442)      (3.2107562051659441771,6.4121650197026616169)
    (-3.0075985508129030599,2.7243892355255829862)     (-3.3485048516852273792,1.3247947507256583322)     (0.6635812676463802573,-1.1285086544652545015)
   (0.71574329684583581912,-1.4173953965904915187)    (-0.15342757806482085203,0.6478757737170190989)     (-3.3646741163976723321,0.3046062902563760888)
    (-1.3649767246491759654,4.0044859522610574132)   (-0.78192259819044840352,0.85500523418597518255)     (0.031912751737091064885,1.483989741872783652)
   (-3.6263691910032869181,-0.7585625440454107915)    (-1.9833742371017319961,0.48108017093621158189)    (-0.69662423946213325454,4.3360026849057522469)
     (2.803428313709744657,-1.8098382544406117489)      (1.9252949647527881627,4.0088982693395180945)    (-0.23451997833696031082,2.2312331673136069909)
   (-1.4104021097271575158,-3.1432337521223083776)     (-0.68453175580458047733,2.514445445683352709)      (-0.8049634810128442064,4.996294326880992287)
