# Superpotential Type
Custom
# Physical Box Size, Power, Coupling
6, 3,  0.3  0.3  0.3 0.03
# Nicolai Configuration Number
0
# Number of Solutions and Dumped-Solutions
8, 0 / 150
# Signs of Determinants
1 1 1 1 1 1 1 1
# Max norm of residue
6.90753e-16
# Configuration of Gaussian random numbers
  (1.1306850666940464478,-0.16043040660628959948)     (6.5477420925095799475,2.5566556250227376879)   (0.73348131710889263868,-1.2262256912176956458)
   (8.2161563685926175538,-4.4173811088165111371)      (4.095262190869082275,2.3148539633194156195)    (2.1730331022055007217,0.51792735837283765399)
   (1.0337891153654621412,-2.8063011355758495924)   (0.51522367484431408347,-10.159311110100579967)  (-0.024293190101941471853,-2.244430568073912724)
   (-2.8001185147575311518,8.5640516194035836151)    (0.18052557850884251578,1.0576286042406435328)     (8.4832420841005813372,4.3215738288042739867)
     (7.5747451003462966668,4.199007778715203365)    (-0.54504949873023278428,0.351318294908839035)     (4.6613508009026363155,5.3681217291155984839)
    (3.7741434795971660066,2.2257471135023711994)     (1.6472553812155388275,10.415605818600727872)   (-5.3044022071971292931,-4.9537044742762059713)
  (-0.49963951821401814124,2.7656941762429942955)   (-0.76874005168725112469,2.3710169004206766985)     (10.346943078281189088,3.4462338199645419223)
    (8.0268240425992996023,6.3767270811279574971)     (-3.3497114931995355391,3.670231465410489502)    (-3.0272634377831968422,6.0047695813343091586)
 (-0.071346156783816977454,3.1661177171889693938)   (-6.1894487205272614716,-3.4699801138077019935)    (3.0149119443730079126,-2.3558668415423080766)
   (2.4433426693110837924,-2.7095932862463207869)    (6.0560881684304375128,-1.0917467408684857766)     (4.2516992275619438502,8.1339143942726170877)
  (-0.2289799214406273431,-4.6376170561238057033)    (3.7570827647985614028,-3.7078919258396938474)     (1.5486457429762865434,2.9293931470725249611)
     (9.892116148636041828,6.1802402763872672509)    (-1.4079670160094597264,1.8011741950109627641)   (-0.04686868776147559007,5.4493841823467459307)
 (-4.3002725922238731471,-0.79628561235936934359)   (2.0032035495285986926,-0.63199007242623184144)    (5.6023866461124809391,0.97541727252049681418)
  (-6.7108931390395696326,0.52673783992886347161)     (1.384477184825323004,-4.5997446386167322174)   (-3.0016625477654956811,-1.2141023799904810954)
    (-4.4694477359793465254,4.248302090301171674)    (-2.6753793621352408572,7.0670383245137404771)    (2.2166495492647197985,-6.1628074428701404841)
     (6.939310130673664645,2.6011996134538373227)    (6.8910734332464516072,-3.3635434042824665646)   (8.9601930456589879981,-0.17927449150119897925)
  (-1.2578158839043476203,-5.8122489718452170493)    (-6.0505916895387690246,1.6402262059288832408)      (3.6815467196870419464,-3.30487783047674899)
  (-2.8300607717123629214,-1.5864287140121213771)    (-2.8029317829084647862,-1.658203971053437753)    (3.4149990728619452618,-3.3477219511119726825)
 (0.40894132907265468013,-0.44103587900063861982)    (1.4630121620173177632,-3.8499781363270910717)  (0.64570211116931730544,-0.35186466692406453971)
  (-10.368669773883295804,-3.8773332416004677725)   (-4.8452428558522457891,0.48904224646016769551)   (0.49142047869953481287,-2.5454488648917821259)
 (-0.74513817782070368434,0.85217358208671190045)     (-0.906343204590018936,6.3837749312310192451)    (-0.9192168829716181877,2.2166799558583001328)
   (1.7437025586470955574,-1.6908011172013457379)    (-1.4702829946809448103,1.9099718397879483778)    (9.4748521644179000134,-2.1344728889648623138)
   (5.2404761747604542421,-3.1017054701341035816)   (-5.144071146098043279,-0.72881743541332233427)     (4.9310631457070623895,6.2706610794580193158)
  (-3.1330090129833600976,-2.9670971494425972814)   (7.9772656045847734063,-0.29514131618491201703)  (0.76576302033753640419,-0.40576963459617898522)
  (-3.2910120707357712888,-1.3439698049296242566)   (-6.8663977054337363981,-7.8803882277087762276)    (-5.6297236507946486483,2.3923206410105515296)
  (-3.1143750356625599096,-1.7897332626308157799)      (2.2111827950817413146,3.193200221485157364)   (0.95526302704926269183,0.58952132557309688821)
  (-5.8111718406096777301,-3.9008711121284136425)   (-1.5125848377423247726,-8.7698217798733892892)    (-4.3128387692981515755,5.8114988508401372869)
